Altium Designer Pick and Place Locations
C:\Git\pod-proj\PCB_pod-proj\Project Outputs for PCB_pod-proj\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       15.01.23
Time:       22:44
Revision:   351aa8dba3eb79c08d0905c6406ab77e7ab698c7
Variant:    No variations
Units used: mil

Designator Comment                         Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                        
mth        "Mouting hole non plated 3.2mm" TopLayer    mounting                      1240.000      4700.000      0        ""                                                                                                 
mth1       "Mouting hole non plated 3.2mm" TopLayer    mounting                      2800.000      4700.000      0        ""                                                                                                 
mth3       "Mouting hole non plated 3.2mm" TopLayer    mounting                      2500.000      1580.000      0        ""                                                                                                 
mth2       "Mouting hole non plated 3.2mm" TopLayer    mounting                      1580.000      1580.000      0        ""                                                                                                 
B2         SW-PUSH-CMS                     TopLayer    SW_TL6120DF300QG              2576.000      3176.000      0        "Non-Open Push-Button 0.1A 24V"                                                                    
B1         SW-PUSH-CMS                     TopLayer    SW_TL6120DF300QG              2143.000      1814.000      0        "Non-Open Push-Button 0.1A 24V"                                                                    
P2         "Header 33"                     TopLayer    SAMTEC_MTSW-133-22-S-S-400    2915.000      2915.000      90       "Header, 33-Pin"                                                                                   
X3         "MC306-G-06Q-32.768 (JFVNY)"    TopLayer    *XTAL_MC-306_32.7680K-A:_ROHS 1427.000      3198.000      0        ""                                                                                                 
U3         STM32F030R8T6                   TopLayer    QFP50P1200X1200X160-64N       2134.000      2661.000      0        "Advanced ARM based 32-bit Cortex M0 MCU with 64 Kbytes Flash and 8 Kbytes of SRAM"                
U2         STM32F103C8T6                   BottomLayer QFP50P900X900X160-48N         1992.472      3954.567      180      "Medium-density performance line ARM-based 32-bit MCU with 64KB Flash, USB, CAN, 7 timers, 2 ADCs" 
SB22       "Circuit Breaker"               BottomLayer RESC1005X35N                  1729.000      4371.087      90       "Circuit Breaker"                                                                                  
SB21       "Circuit Breaker"               TopLayer    RESC1005X35N                  1467.913      3402.000      180      "Circuit Breaker"                                                                                  
SB20       "Circuit Breaker"               TopLayer    RESC1005X35N                  1571.000      3319.913      270      "Circuit Breaker"                                                                                  
SB19       "Circuit Breaker"               TopLayer    RESC1005X35N                  1969.000      4232.000      90       "Circuit Breaker"                                                                                  
SB18       "Circuit Breaker"               BottomLayer RESC1005X35N                  1504.476      4006.882      90       "Circuit Breaker"                                                                                  
SB17       "Circuit Breaker"               TopLayer    RESC1005X35N                  1562.000      2475.087      90       "Circuit Breaker"                                                                                  
SB16       "Circuit Breaker"               TopLayer    RESC1005X35N                  1562.000      2958.087      90       "Circuit Breaker"                                                                                  
SB15       "Circuit Breaker"               TopLayer    RESC1005X35N                  2038.000      3515.000      0        "Circuit Breaker"                                                                                  
SB14       "Circuit Breaker"               TopLayer    RESC1005X35N                  2125.000      3515.000      0        "Circuit Breaker"                                                                                  
SB13       "Circuit Breaker"               BottomLayer RESC1005X35N                  2410.000      3879.000      90       "Circuit Breaker"                                                                                  
SB12       "Circuit Breaker"               TopLayer    RESC1005X35N                  1421.000      3782.000      90       "Circuit Breaker"                                                                                  
